PointDistanceFollower   Apr 20 2020   mode =  LINE3 
Fol_2020-04-20.11_00_44.8_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  69   CS6Dist 7   LMDist  327056
PointDistanceFollower  Apr 20 2020  mode = LINE3
Fol_2020-04-20.11_00_44.8_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
0    -43.08988 -42.03972 -54.11430   2.63975  -0.22917 -19.48737     (-36.989,-0.229) (-53.885,-2.411) (-43.319,-14.437)      0  0  0  
1    -43.25301 -42.03378 -53.87146   2.90032  -0.51113 -19.58791     (-36.744,-0.511) (-53.360,-2.389) (-43.764,-14.298)      0.795477  0.795477  0.795477  
2    -43.41613 -42.02784 -53.62863   3.16090  -0.79309 -19.68845     (-36.499,-0.793) (-52.836,-2.368) (-44.209,-14.160)      1.59095  1.59095  1.59095  
3    -43.57926 -42.02190 -53.38579   3.42148  -1.07505 -19.78898     (-36.254,-1.075) (-52.311,-2.346) (-44.654,-14.021)      2.38643  2.38643  2.38643  
4    -43.74239 -42.01597 -53.14296   3.68205  -1.35701 -19.88952     (-36.009,-1.357) (-51.786,-2.325) (-45.099,-13.882)      3.18191  3.18191  3.18191  
5    -43.90551 -42.01003 -52.90012   3.94263  -1.63897 -19.99006     (-35.764,-1.639) (-51.261,-2.304) (-45.544,-13.744)      3.97739  3.97739  3.97739  
6    -44.06864 -42.00409 -52.65729   4.20321  -1.92093 -20.09060     (-35.519,-1.921) (-50.736,-2.282) (-45.990,-13.605)      4.77286  4.77286  4.77286  
7    -44.23177 -41.99815 -52.41445   4.46379  -2.20289 -20.19114     (-35.273,-2.203) (-50.212,-2.261) (-46.435,-13.466)      5.56834  5.56834  5.56834  
8    -44.39489 -41.99221 -52.17162   4.72436  -2.48484 -20.29168     (-35.028,-2.485) (-49.687,-2.240) (-46.880,-13.328)      6.36382  6.36382  6.36382  
9    -44.55802 -41.98627 -51.92878   4.98494  -2.76680 -20.39221     (-34.783,-2.767) (-49.162,-2.218) (-47.325,-13.189)      7.1593  7.1593  7.1593  
10    -44.72115 -41.98033 -51.68595   5.24552  -3.04876 -20.49275     (-34.538,-3.049) (-48.637,-2.197) (-47.770,-13.050)      7.95477  7.95477  7.95477  
11    -44.88427 -41.97439 -51.44311   5.50609  -3.33072 -20.59329     (-34.293,-3.331) (-48.112,-2.175) (-48.215,-12.912)      8.75025  8.75025  8.75025  
12    -45.04740 -41.96845 -51.20028   5.76667  -3.61268 -20.69383     (-34.048,-3.613) (-47.588,-2.154) (-48.660,-12.773)      8.47165  8.59939  8.48539  
13    -45.21052 -41.96251 -50.95744   6.02725  -3.89464 -20.79437     (-33.803,-3.895) (-47.063,-2.133) (-49.105,-12.635)      8.20679  8.32323  8.22082  
14    -45.37365 -41.95657 -50.71461   6.28783  -4.17660 -20.89490     (-33.558,-4.177) (-46.538,-2.111) (-49.550,-12.496)      8.01245  8.11793  8.02667  
15    -45.53678 -41.95063 -50.47177   6.54840  -4.45856 -20.99544     (-33.312,-4.459) (-46.013,-2.090) (-49.995,-12.357)      7.89386  7.98913  7.90813  
16    -45.69990 -41.94469 -50.22894   6.80898  -4.74051 -21.09598     (-33.067,-4.741) (-45.488,-2.068) (-50.440,-12.219)      7.85443  7.94064  7.86862  
17    -45.86303 -41.93875 -49.98610   7.06956  -5.02247 -21.19652     (-32.822,-5.022) (-44.964,-2.047) (-50.886,-12.080)      7.89537  7.974  7.90933  
18    -46.02616 -41.93281 -49.74327   7.33013  -5.30443 -21.29706     (-32.577,-5.304) (-44.439,-2.026) (-51.331,-11.941)      8.01543  8.08814  8.02903  
19    -46.18928 -41.92688 -49.50043   7.59071  -5.58639 -21.39760     (-32.332,-5.586) (-43.914,-2.004) (-51.776,-11.803)      8.21115  8.27964  8.22427  
20    -46.35241 -41.92094 -49.25760   7.85129  -5.86835 -21.49813     (-32.087,-5.868) (-43.389,-1.983) (-52.221,-11.664)      8.47729  8.54315  8.48986  
21    -46.51554 -41.91500 -49.01476   8.11187  -6.15031 -21.59867     (-31.842,-6.150) (-42.864,-1.962) (-52.666,-11.525)      8.80746  8.87209  8.81942  
22    -46.67866 -41.90906 -48.77193   8.37244  -6.43227 -21.69921     (-31.596,-6.432) (-42.340,-1.940) (-53.111,-11.387)      9.19478  9.25931  9.2061  
23    -46.84179 -41.90312 -48.52909   8.63302  -6.71423 -21.79975     (-31.351,-6.714) (-41.815,-1.919) (-53.556,-11.248)      9.63235  9.69766  9.64303  
24    -47.00492 -41.89718 -48.28626   8.89360  -6.99619 -21.90029     (-31.106,-6.996) (-41.290,-1.897) (-54.001,-11.109)      10.1136  10.1804  10.1237  
25    -47.16804 -41.89124 -48.04342   9.15417  -7.27814 -22.00083     (-30.861,-7.278) (-40.765,-1.876) (-54.446,-10.971)      10.6327  10.7014  10.6422  
26    -47.33117 -41.88530 -47.80059   9.41475  -7.56010 -22.10136     (-30.616,-7.560) (-40.240,-1.855) (-54.891,-10.832)      11.1844  11.2552  11.1932  
27    -47.49430 -41.87936 -47.55775   9.67533  -7.84206 -22.20190     (-30.371,-7.842) (-39.716,-1.833) (-55.336,-10.693)      11.7639  11.8371  11.7723  
28    -47.65742 -41.87342 -47.31492   9.93591  -8.12402 -22.30244     (-30.126,-8.124) (-39.191,-1.812) (-55.781,-10.555)      12.3676  12.4431  12.3754  
29    -47.82055 -41.86748 -47.07208  10.19648  -8.40598 -22.40298     (-29.880,-8.406) (-38.666,-1.791) (-56.227,-10.416)      12.9918  13.0698  12.9992  
30    -47.98367 -41.86154 -46.82925  10.45706  -8.68794 -22.50352     (-29.635,-8.688) (-38.141,-1.769) (-56.672,-10.277)      13.634  13.7144  13.6409  
31    -48.14680 -41.85560 -46.58641  10.71764  -8.96990 -22.60406     (-29.390,-8.970) (-37.617,-1.748) (-57.117,-10.139)      14.2915  14.3743  14.298  
32    -48.30993 -41.84966 -46.34358  10.97821  -9.25186 -22.70459     (-29.145,-9.252) (-37.092,-1.726) (-57.562,-10.000)      14.9625  15.0475  14.9686  
33    -48.47305 -41.84372 -46.10074  11.23879  -9.53381 -22.80513     (-28.900,-9.534) (-36.567,-1.705) (-58.007,-9.861)      15.6451  15.7323  15.6509  
34    -48.63618 -41.83779 -45.85791  11.49937  -9.81577 -22.90567     (-28.655,-9.816) (-36.042,-1.684) (-58.452,-9.723)      16.338  16.4272  16.3434  
35    -48.79931 -41.83185 -45.61507  11.75995 -10.09773 -23.00621     (-28.410,-10.098) (-35.517,-1.662) (-58.897,-9.584)      17.0398  17.131  16.6243  
36    -48.96243 -41.82591 -45.37224  12.02052 -10.37969 -23.10675     (-28.165,-10.380) (-34.993,-1.641) (-59.342,-9.445)      17.4201  17.5186  16.8439  
37    -49.12556 -41.81997 -45.12940  12.28110 -10.66165 -23.20728     (-27.919,-10.662) (-34.468,-1.619) (-59.787,-9.307)      17.8009  17.5245  17.0977  
38    -49.28869 -41.81403 -44.88657  12.54168 -10.94361 -23.30782     (-27.674,-10.944) (-33.943,-1.598) (-60.232,-9.168)      18.2085  17.2644  17.3842  
39    -49.45181 -41.80809 -44.64373  12.80225 -11.22557 -23.40836     (-27.429,-11.226) (-33.418,-1.577) (-60.677,-9.029)      18.6412  17.0594  17.7019  
40    -49.61494 -41.80215 -44.40090  13.06283 -11.50753 -23.50890     (-27.184,-11.508) (-32.893,-1.555) (-61.122,-8.891)      19.0972  16.9116  18.049  
41    -49.77807 -41.79621 -44.15806  13.32341 -11.78949 -23.60944     (-26.939,-11.789) (-32.369,-1.534) (-61.568,-8.752)      19.5749  16.8224  18.424  
42    -49.94119 -41.79027 -43.91523  13.58399 -12.07144 -23.70998     (-26.694,-12.071) (-31.844,-1.513) (-62.013,-8.613)      20.0728  16.7929  18.8252  
43    -50.10432 -41.78433 -43.67239  13.84456 -12.35340 -23.81051     (-26.449,-12.353) (-31.319,-1.491) (-62.458,-8.475)      20.5894  16.8233  19.2508  
44    -50.26745 -41.77839 -43.42956  14.10514 -12.63536 -23.91105     (-26.203,-12.635) (-30.794,-1.470) (-62.903,-8.336)      21.1233  16.9132  19.6995  
